tic,longitude,latitude
4165A,-91.718889,40.425469
ADCT.1,-71.3596535,42.6281012
AFAP,-73.20105800437014,42.47687598251945
IWKS,-96.111512,41.258321
AMCM.,-75.419967,40.439245
AAL,-67.99606921152568,46.6874961
4267A,-91.202623,29.696665
ARXX,145.1430906,-37.8158267
AVX,-82.2376851,34.7001026
PRG,-111.90269979350575,40.50832471550878
ABY.2,174.7744854,-41.2958601
WDDD,-1.8169903562367948,52.56145695
ACETQ,-73.66291887964397,40.81170735194453
ACMTA,-75.84501631620232,39.7600115837865
2675B,-122.2801193,37.9172067
AHIXD,8.7952074,45.6662045
ATVI.1,-118.45306291651711,34.02028796382687
ADAC.,-2.5425525,51.4647479
BKTI,-71.3596535,42.6281012
AE,-95.4502519,29.7511586
ADV.2,-72.6716783,41.7662519
AERS.,-119.674584,36.742708
AMD,-121.9703774,37.3829605
MCIP,-74.5348283,40.7226322
BFTC,-74.92009946529387,40.22945341118246
ASMIY,5.1906814,52.3493481
AIM.1,-122.29026094927606,38.012059229088635
AET,-72.78963949999999,41.740664
1900B,-76.0589426,43.0400661
APD,-74.4615329,40.57025
ABF,-0.4002075,51.5483271
SO1,-97.148069,31.550117
ALK,-80.0373672,32.8840958
ATRI,-96.6766223,33.0826872
ACV.1,-115.332603,36.175278
AL.1,-78.3801224,44.2876813
ALCD.,-97.3207223236961,48.653250785550625
IKN,-75.66883641370435,40.05683571517774
MATX,-157.8795221,21.3067643
ALX,-74.9697444,45.5423236
AGMJF,-122.4034721,37.7887355
0065A,-73.9594833267632,40.730092049999996
PBAJ,-3.1110248584189497,53.3595532
Y,-73.9881406,40.7486441
AYE,-79.54456615648519,40.31774035
AORGB,-77.58245259445624,40.822839650000006
HON,-82.244362,34.949698
AT.2,-89.4593785,43.0290835
SWKS,-121.36757815827204,37.760037121389495
APNI,-89.8315985,35.2214241
AT2,-84.061958,37.052994
AA.3,-76.30016014285715,40.04842418367347
AZA.1,-121.959503,38.400676
AICOQ,-84.19662726651771,39.629997105997184
LCC,-111.9697282,33.4294578
